keyword,year,title,description,bloggername,postdate,link
탕후루,2016,<b>2016</b> 중국언어문화캠프 (hsk 한국사무국) 12일차 리뷰~,근데 막상 쇼핑할건없고 그냥 구경만...ㅎㅎ 저한테는 여기보다 난뤄구샹이 맞는거같아요 ㅋㅋ 정환이랑 <b>탕후루</b>먹고싶어서 돌아다니다가 과일<b>탕후루</b>먹었는데 완전 달콤달콤... 딸기<b>탕후루</b>도 먹고싶엇지만 그건... ,체리쥬,2016-09-07,https://blog.naver.com/elegant329/220806614639
탕후루,2016,<b>2016</b>년 1월 17일 대만여행 7일차  타이난 화원야시장 리치호텔,딸기<b>탕후루</b>와 작은 배가 들어간 <b>탕후루</b>도 먹고. (TWD 65) 남들이 많이 먹길래 맛있을 줄 알았는데 우리 입맛에는 별로였다. 삶은 옥수수도 하나 사고 (TWD 20) 고구마라떼도 한 잔 (TWD 50) 후추빵도 하나 사고 (TWD... ,현이맘님의 블로그,2016-01-29,https://blog.naver.com/jhwitch/220612704373
탕후루,2016,<b>2016</b>년 1월 14일 대만여행 4일차  지롱 먀오커우야시장,야시장 입구에서 <b>탕후루</b>를 발견. (TWD 35) 일단 한 개 사서 냠냠. 가기 전부터 <b>탕후루</b> 먹겠다고 노래를 하더니 딸래미께서 드뎌 먹었다. 딸기에 설탕물 입힌 거니 얼마나 맛있겠는가. 바작 소리나게 코팅된 시럽을... ,현이맘님의 블로그,2016-01-27,https://blog.naver.com/jhwitch/220610619086
탕후루,2016,중국) 베이징 <b>2016</b> 여름 추억 되새김,오늘은<b>2016</b>년 마지막날! 이번 여름에 다녀온 중국여행사진을 정리해보려 한당! 주의... 특이했당ㅋㅋㅋㅋ근데 정말 장미..!!!맛<b>탕후루</b>가 팔길래 달려가서 사먹엇는데 산사나무열매가 아니구 방울토마토였다유ㅠㅠ... ,"If you can dream it, you can do it.",2016-12-31,https://blog.naver.com/noeytravel/220899212801
탕후루,2016,<b>2016</b>년 1월 15일 대만여행 5일차  라오허지에야시장,좀 매워서 울 딸은 혀에 불이 난다네...ㅎㅎ 급하게 옆 집의 딸기<b>탕후루</b>로 입을 진정.. (TWD 40) 역시 스스로 사서 기분이 업~^^ 지나가다 또 쏘세지를 사먹었는데 포장이 넘 재미있다. 쏘세지다발을 받은... ,현이맘님의 블로그,2016-01-28,https://blog.naver.com/jhwitch/220610865870
탕후루,2016,<b>2016</b>년2월둘째주,멍멍쌈 <b>탕후루</b>도 사줫구여 쉬는날 이렇게 먹어도 되는건가요? 집앞에 넘나 맛있는 일식집이 있어서 좋구여 볶음우동 빼고 다 맛있는듯(하트하트) 너무 많이 시켜서 다빠오 해와뜸 내일 또 머거야 요과자... ,자기 관리의 진심인 J100%,2016-02-15,https://blog.naver.com/dldkfka1001/220627100638
탕후루,2016,[페이의 마성의 중국어] #감동 9. &lt;동탁적니&gt;명대사... ,"봄룡이, <b>탕후루</b>, 님그림자, liuli，Tany，예서비, 아우야아, 시고니, 아이궐, 애지중지, 우리94 안.오.기.만.해.봐.라!!! 그나저나 벌써 9월 중순이네요. 오늘 살쪘단 말을 너무 들어서 너무 심난해요. <b>2016</b>년... ",페이의 중국어 놀이터,2016-09-13,https://blog.naver.com/bjpei/220811453661
탕후루,2016,<b>2016</b> 대만 타이페이 자전거박람회 다녀왔어요,무려 <b>2016</b>년 3월 초..에 다녀온 Taipei International Cycle Show 관람기를 이제야 올리네요 아침에 잊섬군의... 반가운 <b>탕후루</b>가 보이길래 이거 하나 샀다! 송산 야시장의 볼거리 먹거리들 우리나라 포장마차 같은 곳... ,슬기로운 숙소탐구생활,2016-04-08,https://blog.naver.com/sohyun070/220678342247
탕후루,2016,<b>2016</b>년 3월 26 ～ 27일,앞에서 <b>탕후루</b>를 팔고잇엇는데 엄청 맛잇어보엿다ㅠㅠ 하지만 간식으로 鸭脖를(첫번째 사진！우리나라 양념족발마?9) 이미삿기에 그냥 지나쳣당 암튼 도착해서 절안으로 들어가서 초사서 기도를 드렷다!!... ,슬기로운 생활,2016-03-29,https://blog.naver.com/w1122w2001/220668387498
탕후루,2016,상해 여행 네번째 이야기,싶어하던 <b>탕후루</b> 드디어 먹었넹 ㅋㅋㅋ ㅎㅎㅎ 딸기의 상큼함과 위에 달달한 설탕물의 환상적인 조화!! 하지만 먼지를 뒤집어 썼을 거라는... 위생상 안좋아 보였지만.. 일단 왔으니 냠. ㅎㅎ <b>2016</b>년 원숭이... ,이곳저곳 여행기록,2016-04-24,https://blog.naver.com/sangjunsj/220692276500
