keyword,year,title,description,pubDate,originallink,link
탕후루,2023,[베이징 다이어리] <b>탕후루</b>는 어디에서 왔을까,"뒤늦게 밝히는 재미있는 사실은 중국에서 찾아볼 수 있는 다수의 문서에서 황귀비에게 <b>탕후루</b>를 처방한 의원을 '돌팔이 의사(江湖郞中)'로 소개하고 있다는 것이다. 내려오는 이야기가 사실에 기초했다고 가정하면, <b>2023</b>년... ",2023-10-07 23:00:00+00:00,https://view.asiae.co.kr/article/2023100611203132781,https://n.news.naver.com/mnews/article/277/0005323364?sid=101
탕후루,2023,“<b>탕후루</b> 만들다 화상 입었잖아요”…학부모는 학교에 민원,"또 <b>탕후루</b> 고열량 및 고당도 식품으로, 초등학생 소아당뇨 환자 역시 2021년 817명에서 2022년 913명, <b>2023</b>년 1030명으로 2년 만에 26.1% 증가했다는 의견이다. 김영호 더불어민주당 의원이 교육부에서 제출받은 17개 시도교육청... ",2023-10-06 14:15:00+00:00,https://www.seoul.co.kr/news/newsView.php?id=20231006500217&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003398574?sid=102
탕후루,2023,<b>탕후루</b> 대표에 '마약 아이돌'까지…21대 마지막 국감 증인 톺아보기,"<b>탕후루</b>가 유행하면서 가맹점이 2022년 43개에서 <b>2023</b>년 420개까지 늘었다. 김 대표를 증인으로 부른 강기윤 국민의힘 의원은 청소년·아동의 당 과다 섭취 문제, 건강권 등에 대해 질의할 예정이다. 가수 남태현 씨는 필로폰... ",2023-10-06 02:48:00+00:00,https://ilyo.co.kr/?ac=article_view&entry_id=460216,https://ilyo.co.kr/?ac=article_view&entry_id=460216
탕후루,2023,[1분컷] GS25 '아이스딸기<b>탕후루</b>' 단독 출시… 냉동 디저트 매출 350.4% 급...,"인기 냉동 디저트 18종을 자사 전략 상품으로 도입한 바 있습니다. 특히 최근 2년간(2022년~<b>2023</b>년 9월) 냉동 디저트 분류 매출은 그 이전 2년(2020년~2021년 9월) 매출 대비 350.4% 신장했습니다. <b>탕후루</b>,디저트,gs25,쿠캣",2023-10-06 01:22:00+00:00,https://www.newscj.com/news/articleView.html?idxno=3069373,https://www.newscj.com/news/articleView.html?idxno=3069373
탕후루,2023,"국감의 계절, 유통업계 줄긴장…첫 손님 ‘왕가<b>탕후루</b> 대표’ 소환","<b>2023</b> 국감, 국민 이목 집중 위한 ‘이색 증인’ 소환 논란까지 지난 8월 국회 환경노동위원회 위원들이 기계... ◇ 국감 첫 손님 ‘왕가<b>탕후루</b>’…청소년 당 과소비시키는 원인 <b>탕후루</b> 프랜차이즈 업체에서 판매되고 있는... ",2023-10-05 06:10:00+00:00,https://www.sportsseoul.com/news/read/1355179?ref=naver,https://n.news.naver.com/mnews/article/468/0000986602?sid=101
탕후루,2023,"늘어나는 <b>탕후루</b> 인기, 증가하는 No <b>탕후루</b>존",<b>탕후루</b>의 인기와 비례해 노 <b>탕후루</b> 존 역시 증가하고 있다.(사진=이승우 기자)  #세종에서 4컷 사진관을... 국내 간식에는 없는 식감과 독특한 맛으로 인플루언서들 사이에서 유행하기 시작하더니 <b>2023</b>년에 들어서 젊은 층... ,2023-10-05 01:14:00+00:00,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=737181,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=737181
탕후루,2023,'<b>탕후루</b>' 정말 건강에 해로울까?...국감 도마위에 오른 왕가<b>탕후루</b>,배달의민족이 조사한 '배민트렌드<b>2023</b> 가을·겨울편'에 따르면 <b>탕후루</b>는 지난해까지만 해도 검색순위권에 들지 못했지만 지난 7월 올 1월 대비 검색량이 47.3배 늘어나 검색어 순위 3위까지 올라섰다. 이러한 인기에 <b>탕후루</b>... ,2023-10-05 01:14:00+00:00,https://www.smartfn.co.kr/article/view/sfn202310050021,https://www.smartfn.co.kr/article/view/sfn202310050021
탕후루,2023,"[토마토레터 제269호] <b>탕후루</b> 열풍, 과연 계속될까?","토마토레터 브리핑 제 269호 <b>2023</b>. 10.5(목) 오늘의 토마토레터! 1. <b>탕후루</b> 열풍, 과연 계속될까? 2. '총선 미리보기' 강서구청장 보선 과열 3. 사상 첫 하원의장 해임…바이든, ‘신속한 의장 선출을’ 토마토Pick! 최근 한국에서... ",2023-10-04 21:02:00+00:00,http://www.newstomato.com/ReadNews.aspx?no=1203294&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1203294&inflow=N
탕후루,2023,"[기자수첩] 증인대 서는 '<b>탕후루</b>', 올해 국감은 다를까","실제로 '배민트렌드<b>2023</b> 가을·겨울편'에 따르면, 지난 7월 <b>탕후루</b> 키워드 검색량은 올 1월 대비, 반년 만에 47.3배나 늘었다. 검색어 순위는 3위다. 국감장에 서는 왕가<b>탕후루</b>의 전국 매장 수는 이달 기준, 420개에 달한다.... ",2023-10-04 06:18:00+00:00,http://www.m-i.kr/news/articleView.html?idxno=1054274,http://www.m-i.kr/news/articleView.html?idxno=1054274
탕후루,2023,"“<b>탕후루</b>도 편의점에서” GS25, 아이스딸기<b>탕후루</b> 출시",이제 편의점에서 <b>탕후루</b>를 즐길 수 있다. GS리테일이 운영하는 편의점 GS25는 오는 5일... 쿠캣 인기 냉동 디저트 18종을 GS25 전략 상품으로 도입‧육성하는 전략으로 최근 2개년(2022년~<b>2023</b>년9월) 냉동 디저트 분류... ,2023-10-04 05:41:00+00:00,https://www.ddaily.co.kr/page/view/2023100414393557265,https://n.news.naver.com/mnews/article/138/0002157912?sid=103
