keyword,year,title,description,pubDate,originallink,link
탕후루,,오픈런 해도 사 먹기 힘들었는데...재고 쌓이고 3000원짜리 ‘두쫀쿠’...,"이후 <b>2016</b>년 초 등장한 대만 카스테라도 시장을 사로잡았지만 약 15개월 만에 급격한 하락 국면에 접어들었다. 특히 두쫀쿠만큼 인기를 끌었던 <b>탕후루</b>는 2023년 5월께 급속히 확산됐지만, 불과 12개월 만인 2024년 5월을... ",,https://www.sedaily.com/article/20006254?ref=naver,https://n.news.naver.com/mnews/article/011/0004587857?sid=102
탕후루,,두쫀쿠도 유행 끝?…&quot;재고 이만큼 남아 있다&quot; 인증샷 줄이어,"2014년 등장한 해태제과의 허니버터칩은 17개월간, <b>2016</b>년 초 등장한 대만 카스테라는 15개월간, 2023년 급속한 인기를 끌은 <b>탕후루</b>는 12개월 만에 시장 열기가 빠르게 식은 바 있습니다. 이에 비교하면 두바이 디저트는... ",,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=5174131,https://n.news.naver.com/mnews/article/057/0001934062?sid=102
탕후루,,당신이 두바이쫀득쿠키에 빠져든 이유,"허니버터칩, 대만식 카스텔라, 요거트 아이스크림, <b>탕후루</b>, 두바이쫀득쿠키(두쫀쿠) 같이 소셜미디어... 대만식 카스텔라는 <b>2016</b>~17년 촉촉한 식감과 달콤함으로 인기를 얻었으나, 이후 보도와 소비자 관심 변화가 겹치며... ",,https://www.hinews.co.kr/view.php?ud=20260204122636950cd8b879b3c_48,https://www.hinews.co.kr/view.php?ud=20260204122636950cd8b879b3c_48
탕후루,,[카드뉴스] '두쫀쿠' 이전에도 있었다! '품절' '품귀' 현상의 주인공들,"<b>탕후루</b>와 함께 SNS 밈을 통해 확산된 음식 트렌드의 한 축으로 언급되며, 특히 젊은층 소비를 중심으로 영향력을 유지하고 있다. 한때 창업 시장을 휩쓴 '대왕카스테라'도 빼놓을 수 없다. <b>2016</b>~2017년 전국적인 붐을 일으킨... ",,http://www.sisunnews.co.kr/news/articleView.html?idxno=234176,http://www.sisunnews.co.kr/news/articleView.html?idxno=234176
탕후루,,"닭집까지 파고든 ‘두쫀쿠’, <b>탕후루</b>와 다를까…유행템 열풍의 달콤한 ...","<b>2016</b>~2017년 반짝 유행했던 대만 카스테라, 2023~2024년 골목상권을 뒤덮었던 <b>탕후루</b>가 대표 사례다. 이보다 규모가 작게 유행한 아이템까지 포함하면 유행 주기는 더 짧다. 두쫀쿠는 피스타치오 크림과 카다이프를 섞어 만든... ",,https://ilyo.co.kr/?ac=article_view&entry_id=507365,https://ilyo.co.kr/?ac=article_view&entry_id=507365
탕후루,,[허영주 칼럼] 두쫀쿠 열풍과 대한민국 유행 디저트의 계보,딸기오믈렛(<b>2016</b>년 9월~2017년 5월)은 약 9개월간 반짝 인기를 끌었다. 부드러운 오믈렛 안에 생크림과 딸기를... 약과와 <b>탕후루</b>(2023년 5월~2024년 5월)는 약 1년간 동시에 유행했다. 약과는 전통 간식이 MZ세대의 취향에 맞게... ,,https://www.womaneconomy.co.kr/news/articleView.html?idxno=249003,https://www.womaneconomy.co.kr/news/articleView.html?idxno=249003
탕후루,,[유통가 레이더] 이재민 위한 '비상식량세트' 만든 오뚜기... 적십자사 ...,'스윗칠리킹'은 붉은 칠리소스가 치킨을 얇고 투명하게 감싸 마치 '<b>탕후루</b>'처럼 반짝이는 비주얼을... 파트너사의 해외 진출을 돕기 위해 <b>2016</b>년부터 '롯데-대한민국 브랜드 엑스포'도 열고 있다. 지난해까지 총 1500여 개... ,,https://www.greened.kr/news/articleView.html?idxno=336207,https://www.greened.kr/news/articleView.html?idxno=336207
탕후루,,[이형석칼럼] 두쫀쿠 열풍에 코스피 불장…단맛 디저트 유행하면 주가도...,마카롱·뚱카롱 유행 시기이자 코스피 상승기였던 <b>2016</b>년말~2017년초는 대만카스텔라 인기의 절정기이기도 했다. <b>탕후루</b>는 뚱카롱보다는 짧고 대만 카스텔라보다는 좀 긴 유행 주기를 보였다. 2022년말부터 젊은층에서... ,,https://biz.heraldcorp.com/article/10662636?ref=naver,https://n.news.naver.com/mnews/article/016/0002590901?sid=101
탕후루,,그 많던 <b>탕후루</b> 가게 요즘 안 보이네...“없어서 못 팔아” 두쫀쿠 인기...,"이후 <b>2016</b>년 초 등장한 대만 카스테라도 시장을 사로잡았지만 약 15개월 만에 급격한 하락 국면에 접어들었다. 특히 두쫀쿠만큼 인기를 끌었던 <b>탕후루</b>는 2023년 5월께 급속히 확산됐지만, 불과 12개월 만인 2024년 5월을... ",,https://www.sedaily.com/article/20000266?ref=naver,https://n.news.naver.com/mnews/article/011/0004582670?sid=102
탕후루,,&quot;없어서 못 판다&quot; 겨울철 한국은 '두쫀쿠' 열풍… 방학마다 반복되는 먹...,"- 겨울방학 만나 대유행… '두바이 쫀득 쿠키' 품절 대란 - <b>탕후루</b>는 반짝, 마라탕은 정착… 유행 수명 가른... 허니버터칩에 대한 2014년 1월부터 <b>2016</b>년 1월까지 2년간 구글 검색량. 2014년 12월경 검색량 100(상대값)에... ",,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=512173,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=512173
